,CC,GD,JM,JS,NL,RK,SC,YY
77,0.5,0.75,0.5,1.0,0.75,0.75,1.0,1.0
78,1.0,0.75,0.5,1.0,0.75,0.5,0.5,1.0
79,0.5,1.0,0.75,0.5,0.5,1.0,1.0,1.0
80,0.75,1.0,0.5,1.0,1.0,1.0,0.75,1.0
81,1.0,0.75,0.75,1.0,1.0,0.5,1.0,0.5
82,0.75,1.0,0.75,1.0,1.0,0.5,0.75,0.75
83,0.25,1.0,0.25,1.0,0.25,1.0,0.25,0.5
84,0.75,1.0,0.5,0.5,1.0,0.5,0.5,1.0
85,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
86,1.0,1.0,0.75,0.5,0.75,1.0,0.0,1.0
87,0.75,1.0,0.0,0.75,1.0,1.0,0.75,1.0
88,0.75,1.0,0.5,0.5,1.0,0.75,1.0,0.75
89,1.0,0.25,1.0,1.0,0.75,0.75,0.75,0.75
90,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.75
91,1.0,1.0,0.75,0.25,1.0,0.75,0.75,0.75
92,1.0,1.0,0.75,0.5,0.25,1.0,1.0,0.75
93,1.0,0.75,0.5,0.75,1.0,0.5,1.0,1.0
94,0.5,1.0,0.75,0.75,0.75,1.0,0.5,0.75
95,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0
96,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
97,0.75,0.75,0.5,0.5,0.75,1.0,1.0,0.5
98,1.0,1.0,0.75,0.5,0.75,1.0,0.75,0.75
99,0.5,1.0,1.0,0.5,1.0,0.75,0.75,0.5
100,0.75,1.0,0.5,0.25,1.0,0.75,0.25,1.0
101,1.0,0.5,0.75,0.75,0.75,0.75,0.5,1.0
102,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0
103,0.5,1.0,0.25,0.5,0.75,1.0,0.25,0.75
104,0.5,0.75,1.0,0.5,0.75,0.5,1.0,0.75
105,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.5
106,0.75,0.75,0.75,0.75,1.0,0.75,0.5,1.0
107,1.0,1.0,0.75,0.75,0.75,1.0,0.75,0.5
108,1.0,0.75,0.75,0.25,0.75,0.75,0.5,1.0
109,0.75,0.75,0.25,0.75,0.5,0.75,0.5,0.75
110,0.75,0.75,0.5,0.5,1.0,0.5,0.5,0.75
111,0.75,1.0,0.5,0.75,0.75,0.5,0.75,0.75
112,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75
113,1.0,0.75,1.0,0.5,0.75,0.5,0.5,0.75
114,0.5,1.0,0.5,1.0,0.25,0.5,0.75,0.75
115,1.0,0.25,0.5,0.5,0.5,1.0,0.75,1.0
116,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
117,1.0,0.75,0.5,0.5,1.0,0.75,1.0,1.0
118,1.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0
119,0.75,0.75,0.5,0.5,1.0,0.75,1.0,1.0
120,1.0,1.0,0.75,0.25,0.75,0.75,0.75,0.75
121,1.0,0.75,0.5,0.75,0.5,0.75,0.75,1.0
122,1.0,1.0,0.5,0.5,1.0,0.5,0.75,1.0
123,1.0,1.0,0.25,1.0,0.5,1.0,0.5,0.5
124,1.0,0.5,0.5,1.0,1.0,1.0,0.75,0.75
125,0.25,1.0,1.0,1.0,0.75,1.0,0.5,0.75
126,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0
127,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0
128,1.0,0.75,0.75,0.5,0.75,1.0,0.25,1.0
129,0.75,0.25,0.5,0.75,1.0,1.0,0.75,0.75
130,1.0,0.75,0.5,0.5,0.75,1.0,0.75,1.0
131,0.5,1.0,0.5,0.5,0.5,0.75,1.0,1.0
132,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.75
133,0.75,1.0,0.5,0.75,1.0,1.0,0.5,0.5
134,0.5,0.5,1.0,1.0,0.75,0.75,1.0,1.0
135,0.5,0.75,1.0,0.75,0.75,1.0,0.75,1.0
136,0.5,0.5,0.75,0.75,0.75,1.0,0.75,1.0
137,0.5,0.75,0.5,0.75,0.5,1.0,1.0,0.75
138,1.0,1.0,0.5,1.0,0.25,0.75,0.5,0.75
139,0.5,0.75,1.0,1.0,0.5,1.0,0.75,0.5
140,1.0,0.5,0.5,0.5,0.5,0.75,1.0,0.75
141,1.0,0.75,1.0,0.75,0.75,0.5,0.75,0.75
142,0.75,0.75,0.5,0.75,0.75,0.25,0.5,1.0
143,1.0,1.0,0.25,0.75,1.0,1.0,0.5,0.75
144,0.5,0.25,0.0,0.25,0.5,1.0,0.75,0.5
145,1.0,1.0,0.0,0.5,0.75,0.75,0.5,1.0
146,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0
147,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0
148,1.0,1.0,0.5,0.75,0.5,1.0,1.0,0.75
149,0.75,0.25,0.75,0.75,1.0,0.5,0.75,0.75
150,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0
151,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5
152,0.5,1.0,0.25,0.75,1.0,1.0,1.0,0.75
153,0.75,0.25,0.5,0.75,1.0,0.5,1.0,1.0
154,1.0,0.25,0.75,0.0,0.5,0.75,0.25,1.0
155,0.5,0.75,1.0,0.75,0.5,0.75,1.0,0.5
156,1.0,1.0,1.0,0.5,0.75,0.5,0.75,0.75
157,1.0,0.75,0.5,0.5,1.0,1.0,1.0,1.0
158,0.75,0.75,1.0,0.75,1.0,0.75,0.5,1.0
159,0.75,0.75,0.5,0.75,0.75,0.75,1.0,1.0
160,0.75,0.5,0.75,0.75,0.75,1.0,0.25,1.0
161,1.0,0.0,0.75,0.5,1.0,0.75,0.5,1.0
162,0.5,0.5,1.0,0.5,1.0,0.75,0.75,0.75
163,1.0,0.5,1.0,1.0,0.75,0.75,0.75,0.75
164,1.0,0.5,0.5,0.5,1.0,0.75,0.75,1.0
165,0.75,1.0,0.5,0.5,1.0,1.0,0.75,1.0
166,0.5,0.75,1.0,1.0,0.5,0.5,1.0,0.75
167,1.0,1.0,0.75,0.5,1.0,1.0,0.75,1.0
168,0.75,1.0,0.5,1.0,0.5,1.0,0.75,0.5
169,1.0,0.5,0.75,1.0,0.75,0.75,0.75,1.0
170,0.75,1.0,0.5,1.0,0.75,0.75,0.75,1.0
171,0.75,1.0,0.25,1.0,1.0,0.75,1.0,0.75
172,1.0,0.75,1.0,0.75,0.25,1.0,0.25,1.0
173,1.0,1.0,0.5,0.75,0.75,0.75,1.0,0.5
174,0.5,0.75,0.75,1.0,1.0,1.0,0.75,1.0
175,0.5,1.0,0.75,0.5,0.5,0.75,0.5,1.0
176,1.0,0.5,0.5,0.5,0.75,0.75,0.5,0.75
177,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.5
178,1.0,1.0,1.0,0.75,0.5,0.75,0.25,0.75
179,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0
180,1.0,1.0,0.75,0.75,0.75,1.0,0.75,1.0
181,1.0,0.75,0.75,0.5,1.0,1.0,0.5,1.0
182,1.0,1.0,0.75,1.0,0.5,1.0,0.5,1.0
183,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75
184,0.75,1.0,0.75,0.25,0.75,0.75,0.25,0.75
185,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0
186,0.75,1.0,0.75,0.5,1.0,0.5,0.75,1.0
187,1.0,1.0,0.75,0.25,0.75,0.75,0.5,0.75
188,0.75,1.0,0.75,0.75,0.75,0.75,0.25,0.75
189,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0
190,1.0,1.0,0.5,0.5,0.75,1.0,0.5,0.75
191,0.5,1.0,0.5,0.5,0.5,1.0,0.75,1.0
192,1.0,1.0,0.75,0.75,0.5,0.75,0.5,1.0
193,1.0,0.25,0.5,0.75,0.75,1.0,0.5,0.75
194,0.5,0.0,0.25,0.75,1.0,0.75,1.0,0.75
195,0.5,0.75,1.0,0.75,0.5,1.0,0.75,1.0
196,1.0,0.25,1.0,0.5,1.0,0.75,0.75,0.5
197,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75
198,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.75
199,1.0,0.5,1.0,0.25,0.75,0.75,0.75,1.0
Average,0.8225,0.7925,0.67875,0.7025,0.76125,0.82375,0.70125,0.84375
